,S_daily,sigmaS_daily,n_articles
2021-02-24,0.075635895,0.3156765472213049,39
2021-02-25,0.08584783,0.22703953474498614,23
2021-02-26,0.03904762,0.3200547101108649,21
2021-02-27,0.019208333,0.3228424982220523,12
2021-02-28,0.19238,0.42293285845673817,5
2021-03-01,-0.111549996,0.2694486915451934,16
2021-03-02,0.07131428,0.2692889350000569,21
2021-03-03,0.121954165,0.2700193470589602,24
2021-03-04,0.022944117,0.26471850955862714,34
2021-03-05,0.021025,0.42146642517991484,28
2021-03-06,0.0574,0.2533094729657862,10
2021-03-07,0.151905,0.26563532598749706,20
2021-03-08,0.037242502,0.362391850791605,40
2021-03-09,0.06991522,0.3122746228019698,46
2021-03-10,0.12517036,0.35962495407518585,27
2021-03-11,0.11615,0.296240984405613,40
2021-03-12,-0.04651,0.43075863627929417,30
2021-03-13,0.1104353,0.2498370762134013,17
2021-03-14,0.063185714,0.22167890801591322,14
2021-03-15,0.049726088,0.2935471556975712,46
2021-03-16,-0.07580277,0.43758062530998104,36
2021-03-17,0.10575714,0.3269055138172405,28
2021-03-18,-0.0457625,0.34666223906530474,32
2021-03-19,-0.023972219,0.36296032226053565,18
2021-03-20,-0.011790907,0.2551044514553511,22
2021-03-21,0.17426668,0.2975155224769612,12
2021-03-22,0.019829033,0.28013208395854877,31
2021-03-23,0.122943476,0.2779345742630721,23
2021-03-24,-0.04504412,0.338487982051229,34
2021-03-25,-0.03494138,0.34436473557745684,29
2021-03-26,0.010866665,0.3941781579524637,18
2021-03-27,0.07608,0.20500748304856592,10
2021-03-28,0.29154,0.2695880582779295,5
2021-03-29,0.13991906,0.2180212345199355,21
2021-03-30,-0.0024413795,0.25695988494986555,29
2021-03-31,0.1589,0.25388093104242515,36
2021-04-01,0.091740005,0.26789763926642174,35
2021-04-02,0.14399286,0.25071464170357766,14
2021-04-03,-0.05654,0.3921684064380619,10
2021-04-04,0.22383636,0.3064333961619494,11
2021-04-05,0.13656206,0.34929090836431864,29
2021-04-06,0.05081111,0.3328787377407444,27
2021-04-07,0.131825,0.31299810029060715,24
2021-04-08,0.1019875,0.28666929921895395,40
2021-04-09,0.15542608,0.29702971608548506,23
2021-04-10,0.05878823,0.395327181589086,17
2021-04-11,0.092824996,0.3519610689913329,12
2021-04-12,-0.0018281229,0.3120445568396529,32
2021-04-13,0.20655239,0.3306778108722465,21
2021-04-14,0.0867,0.33015175112262135,39
2021-04-15,0.096770585,0.29374370022184915,34
2021-04-16,0.009010003,0.3718309639143807,30
2021-04-17,0.13863751,0.243441134666824,8
2021-04-18,-0.1856,0.5042636425055775,12
2021-04-19,-0.035440676,0.3689353958859543,59
2021-04-20,-0.06965,0.3686860658180878,42
2021-04-21,0.07010476,0.189856189810142,21
2021-04-22,0.07650278,0.378337068798309,36
2021-04-23,0.011644443,0.3775233856971415,27
2021-04-24,-0.041914284,0.2908395091882513,14
2021-04-25,0.1211,0.2195521777556215,6
2021-04-26,0.0635946,0.37733125617192914,37
2021-04-27,0.0634119,0.355973495235209,42
2021-04-28,0.011009525,0.3550367437553081,42
2021-04-29,-0.1805742,0.3633280787842291,31
2021-04-30,0.027447367,0.32901149593899115,19
2021-05-01,-0.04070625,0.2866087313129945,16
2021-05-02,0.051936362,0.46342562326558295,11
2021-05-03,0.005628568,0.2539046468288421,28
2021-05-04,0.15849666,0.28461439894321294,30
2021-05-05,0.19639333,0.2611147209034063,30
2021-05-06,0.06392692,0.331828719182816,26
2021-05-07,0.091837496,0.26459538670015537,24
2021-05-08,0.089640915,0.4369060524844292,22
2021-05-09,0.07115,0.28421791145033526,20
2021-05-10,-0.0617,0.34747830166395777,43
2021-05-11,-0.055113636,0.3303082899823769,44
2021-05-12,-0.018912904,0.3359148591294358,31
2021-05-13,-0.07977619,0.3129714778329865,63
2021-05-14,-0.09280714,0.3591211995862169,42
2021-05-15,0.07462631,0.43437620161265994,19
2021-05-16,-0.036843747,0.3508407902802939,16
2021-05-17,-0.015149181,0.3014954085791214,61
2021-05-18,-0.033283334,0.27804537154259373,54
2021-05-19,-0.03675,0.3490536025873354,60
2021-05-20,-0.007391836,0.37287487895014515,49
2021-05-21,-0.108971424,0.2893191699282747,42
2021-05-22,0.063156255,0.363717823960425,16
2021-05-23,0.051529408,0.40720510686296457,17
2021-05-24,0.036115624,0.3764213596557443,32
2021-05-25,-0.043721877,0.26747181690437477,32
2021-05-26,0.04359722,0.32551992857364376,36
2021-05-27,0.041451607,0.4006713707369914,31
2021-05-28,0.06509166,0.28815975387381576,24
2021-05-29,0.107807145,0.3728078558378545,14
2021-05-30,-0.058724992,0.40335327696016476,4
2021-05-31,-0.15560834,0.19388626615352142,12
2021-06-01,-0.002445454,0.27424065339226994,22
2021-06-02,-0.026231429,0.26685095925676294,35
2021-06-03,-0.12087097,0.26315243761250123,31
2021-06-04,0.21549642,0.31016812617679806,28
2021-06-05,0.040007144,0.38868216776269116,14
2021-06-06,0.0071199983,0.3921997623430891,10
2021-06-07,0.036125,0.29842947107101475,28
2021-06-08,0.016209757,0.25977690845150914,41
2021-06-09,0.05863214,0.2940494630835361,28
2021-06-10,-0.010502775,0.3050202392785762,36
2021-06-11,0.115292855,0.36329536097850196,14
2021-06-12,0.013820005,0.3832021596619604,5
2021-06-13,0.038236365,0.3486276267887455,11
2021-06-14,0.035312116,0.25669298852290345,33
2021-06-15,0.053807143,0.3759826364241185,28
2021-06-16,0.07998276,0.31301270066422876,29
2021-06-17,0.10846001,0.3080838228542302,25
2021-06-18,-0.085877776,0.4519919142835271,9
2021-06-19,0.26335,0.37243315567742574,2
2021-06-20,0.029216668,0.20356088327835084,6
2021-06-21,0.097891666,0.3200437754169431,24
2021-06-22,0.124672726,0.31495852361076054,22
2021-06-23,0.076274075,0.3194684640159436,27
2021-06-24,0.22228,0.4002415707178113,15
2021-06-25,0.058953334,0.22854511767646107,15
2021-06-26,0.06909231,0.2187171763371766,13
2021-06-27,0.13984285,0.3156696347482906,7
2021-06-28,0.04016818,0.24208285501681615,22
2021-06-29,0.012433332,0.337821964882367,30
2021-06-30,0.22383334,0.2871682494405155,15
2021-07-01,-0.05354546,0.374585449565338,22
2021-07-02,0.17995295,0.2888893758433126,17
2021-07-03,-0.15132222,0.3297292738103923,9
2021-07-05,-0.010637499,0.3012831287112935,8
2021-07-06,-0.025999997,0.3766986998780524,23
2021-07-07,0.0072000027,0.2317623302602306,9
2021-07-08,0.019500002,0.38076545426945596,23
2021-07-09,0.017614285,0.30131844835211,21
2021-07-10,0.21902221,0.3588781136125726,9
2021-07-11,0.12855335,0.42351633798380584,15
2021-07-12,0.091951616,0.333595583008498,31
2021-07-13,0.031252176,0.3767039504699,23
2021-07-14,0.105795234,0.3954401917145452,21
2021-07-15,-0.0038473636,0.3073485317516672,19
2021-07-16,0.15618236,0.3277208708908964,17
2021-07-17,0.27025,0.2464119784924572,6
2021-07-18,0.24982858,0.3529098419498312,7
2021-07-19,-0.049785,0.36798421048873536,20
2021-07-20,0.19025417,0.27286488273892395,24
2021-07-21,-0.034132,0.3343891822816377,25
2021-07-22,0.1769,0.3200298676414802,25
2021-07-23,0.090344824,0.36591952136959355,29
2021-07-24,0.06509231,0.37160597841526466,13
2021-07-25,0.09307144,0.3305836712488246,7
2021-07-26,0.09424762,0.34866094862058433,42
2021-07-27,0.07157692,0.25862142235324104,26
2021-07-28,0.124638095,0.24163686659548103,21
2021-07-29,0.12486316,0.4165279210427518,19
2021-07-30,-0.12944545,0.3809379648552278,22
2021-07-31,-0.06433078,0.4528501663360378,13
2021-08-01,-0.183,0.3132150787221538,5
2021-08-02,0.067222215,0.3023394259193099,9
2021-08-03,0.042194445,0.29332187586217884,18
2021-08-04,0.23348947,0.28032380389151074,19
2021-08-05,0.064059086,0.4080529945034472,22
2021-08-06,0.054673683,0.3539961971289611,19
2021-08-07,3.193106e-09,0.3461178131834797,7
2021-08-08,-0.1541111,0.3434558032086795,9
2021-08-09,0.055107143,0.3176927366580726,14
2021-08-10,0.069026664,0.2737964716723481,15
2021-08-11,-0.030917645,0.2322304569706553,17
2021-08-12,-0.08936666,0.2741331495356744,21
2021-08-13,0.21244167,0.4450106885067044,12
2021-08-14,0.026349997,0.24361937133556186,6
2021-08-15,0.121700004,0.23513281284074455,8
2021-08-16,-0.007972972,0.2915710232681096,37
2021-08-17,0.14935,0.3068588407186618,24
2021-08-18,0.11238235,0.356622122581915,17
2021-08-19,0.09347692,0.3037817888283587,13
2021-08-20,-0.031867743,0.34422527541954556,31
2021-08-21,-0.101457134,0.47111940952616244,7
2021-08-22,-0.1743,0.13798101489269418,4
2021-08-23,0.039133336,0.3363277742159859,12
2021-08-24,-0.15370454,0.2937627675230204,22
2021-08-25,0.15035453,0.38484655059126527,11
2021-08-26,-0.078919224,0.362676536889955,26
